위양성 (28/100) 

얼굴사진 18번, 신분증 73번
얼굴사진 95번, 신분증 66번
#CASE72 결과 : False, 거리 : 0.41279060961677627
얼굴사진 17번, 신분증 67번
#CASE73 결과 : True, 거리 : 0.33407721630684295
얼굴사진 100번, 신분증 72번
#CASE74 결과 : True, 거리 : 0.3397306899614049
얼굴사진 27번, 신분증 55번
#CASE75 결과 : False, 거리 : 0.5055246260695653
얼굴사진 8번, 신분증 62번
#CASE76 결과 : False, 거리 : 0.5910982580979989
얼굴사진 47번, 신분증 73번
#CASE77 결과 : False, 거리 : 0.5459723031272473
얼굴사진 71번, 신분증 26번
#CASE78 결과 : False, 거리 : 0.5635143303018347
얼굴사진 65번, 신분증 53번
#CASE79 결과 : True, 거리 : 0.3588966678294424
얼굴사진 63번, 신분증 46번
#CASE80 결과 : False, 거리 : 0.4450848471592226
#CASE81 얼굴 검출 실패!
얼굴사진 1번, 신분증 69번
#CASE82 결과 : False, 거리 : 0.4763850680283891
얼굴사진 70번, 신분증 80번
#CASE83 결과 : False, 거리 : 0.44382069083972386
얼굴사진 79번, 신분증 43번
#CASE84 결과 : True, 거리 : 0.36685449572055095
얼굴사진 59번, 신분증 77번
#CASE85 결과 : False, 거리 : 0.5311610546457292
얼굴사진 4번, 신분증 30번
#CASE86 결과 : False, 거리 : 0.4752250442122997
얼굴사진 82번, 신분증 23번
#CASE87 결과 : False, 거리 : 0.5001583082677952
얼굴사진 71번, 신분증 75번
#CASE88 결과 : False, 거리 : 0.4173673910945117
얼굴사진 24번, 신분증 12번
#CASE89 결과 : True, 거리 : 0.31206525961504605
얼굴사진 71번, 신분증 33번
#CASE90 결과 : False, 거리 : 0.5026150570304533
얼굴사진 5번, 신분증 87번
#CASE91 결과 : False, 거리 : 0.5032009714411969
얼굴사진 10번, 신분증 11번
#CASE92 결과 : False, 거리 : 0.4446515630608794
얼굴사진 3번, 신분증 58번
#CASE93 결과 : False, 거리 : 0.6070246130173467
얼굴사진 2번, 신분증 97번
#CASE94 결과 : True, 거리 : 0.1119425556211423
얼굴사진 97번, 신분증 36번
#CASE95 결과 : False, 거리 : 0.5132040702057656
얼굴사진 32번, 신분증 35번
#CASE96 결과 : False, 거리 : 0.5976741958510089
얼굴사진 15번, 신분증 80번
#CASE97 결과 : False, 거리 : 0.4861628027623758
#CASE98 얼굴 검출 실패!
얼굴사진 38번, 신분증 9번
#CASE99 결과 : False, 거리 : 0.4372862670407426
얼굴사진 22번, 신분증 21번
#CASE100 결과 : True, 거리 : 0.3953863527722623
